payment_id,order_id,attempt_no,payment_ts,payment_method,payment_status,failure_reason,amount
PAY000000043,O000000033,1,2025-08-04T08:20:06,COD,SUCCESS,,6503.4
PAY000000044,O000000034,1,2025-08-04T02:46:13,Card,FAILED,INSUFFICIENT_FUNDS,4678.26
PAY000000045,O000000034,2,2025-08-04T02:47:58,Card,FAILED,INSUFFICIENT_FUNDS,4678.26
PAY000000046,O000000034,3,2025-08-04T02:58:36,Card,success,,4678.26
PAY000000047,O000000035,1,2025-08-04T13:41:41,COD,SUCCESS,,548.25
PAY000000048,O000000036,1,2025-08-04T23:09:32,COD,SUCCESS,,5059.0
PAY000000049,O000000037,1,2025-08-04T20:55:08,Card,SUCCESS,,9034.89
PAY000000050,O000000038,1,2025-08-04T22:29:12,Card,SUCCESS,,4863.28
PAY000000051,O000000039,1,2025-08-04T03:11:06,Card,SUCCESS,,2166.39
PAY000000052,O000000040,1,2025-08-04T06:23:52,UPI,SUCCESS,,1175.6
PAY000000053,O000000041,1,2025-08-04T14:35:29,COD,SUCCESS,,3958.49
PAY000000054,O000000042,1,2025-08-04T15:46:04,Card,SUCCESS,,3174.86
PAY000000055,O000000043,1,2025-08-04T02:32:29,Card,SUCCESS,,689.76
PAY000000056,O000000044,1,2025-08-04T15:28:05,Card,FAILED,CARD_DECLINED,313.45
PAY000000057,O000000044,2,2025-08-04T15:29:25,Card,FAILED,BANK_TIMEOUT,313.45
PAY000000058,O000000044,3,2025-08-04T15:31:29,Card,FAILED,CARD_DECLINED,313.45
PAY000000059,O000000044,4,2025-08-04T15:28:55,Card,FAILED,CARD_DECLINED,313.45
PAY000000060,O000000044,5,2025-08-04T15:44:08,Card,SUCCESS,,313.45
PAY000000061,O000000045,1,2025-08-04T08:27:51,Card,SUCCESS,,1934.65
PAY000000062,O000000046,1,2025-08-05T16:17:34,Card,SUCCESS,,919.92
PAY000000063,O000000047,1,2025-08-05T15:51:06,COD,SUCCESS,,20918.18
PAY000000064,O000000048,1,2025-08-06T00:09:53,NetBanking,SUCCESS,,206.25
PAY000000065,O000000049,1,2025-08-05T13:51:49,COD,SUCCESS,,3181.08
PAY000000066,O000000050,1,2025-08-05T23:12:29,COD,Success,,14980.38
PAY000000067,O000000051,1,2025-08-05T21:39:52,Card,FAILED,FRAUD_SUSPECTED,2199.51
PAY000000068,O000000051,2,2025-08-05T21:40:45,Card,FAILED,BANK_TIMEOUT,2199.51
PAY000000069,O000000051,3,2025-08-05T21:40:17,Card,SUCCESS,,2199.51
PAY000000070,O000000052,1,2025-08-05T07:45:01,COD,SUCCESS,,12775.54
PAY000000071,O000000053,1,2025-08-05T14:32:09,UPI,FAILED,CARD_DECLINED,9807.15
PAY000000072,O000000054,1,2025-08-05T10:28:25,Card,SUCCESS,,6671.26
PAY000000073,O000000055,1,2025-08-05T16:16:27,Card,FAILED,INSUFFICIENT_FUNDS,275.17
PAY000000074,O000000055,2,2025-08-05T16:32:07,Card,SUCCESS,,275.17
PAY000000075,O000000056,1,2025-08-05T09:58:23,Card,SUCCESS,,525.68
PAY000000076,O000000057,1,2025-08-05T09:15:07,COD,SUCCESS,,18323.2
PAY000000077,O000000058,1,2025-08-05T22:02:26,COD,SUCCESS,,1035.92
PAY000000078,O000000059,1,2025-08-05T08:39:58,UPI,FAILED,UPI_PIN_ERROR,4411.48
PAY000000079,O000000059,2,2025-08-05T08:51:53,UPI,SUCCESS,,4411.48
PAY000000080,O000000060,1,2025-08-05T21:51:33,UPI,FAILED,CARD_DECLINED,26505.57
PAY000000081,O000000060,2,2025-08-05T21:58:31,UPI,FAILED,CARD_DECLINED,26505.57
PAY000000082,O000000060,3,2025-08-05T22:01:35,UPI,SUCCESS,,26505.57
PAY000000083,O000000061,1,2025-08-05T02:50:30,UPI,FAILED,BANK_TIMEOUT,9796.73
PAY000000084,O000000061,2,2025-08-05T02:57:34,UPI,SUCCESS,,9796.73
PAY000000085,O000000062,1,2025-08-05T10:03:44,Card,SUCCESS,,8380.97
PAY000000086,O000000063,1,2025-08-05T16:51:23,UPI,SUCCESS,,2751.64
PAY000000087,O000000064,1,2025-08-05T12:38:56,COD,SUCCESS,,3612.76
PAY000000088,O000000065,1,2025-08-05T20:21:12,Card,SUCCESS,,7329.69
PAY000000089,O000000066,1,2025-08-05T03:12:07,Card,FAILED,INSUFFICIENT_FUNDS,469.64
PAY000000090,O000000066,2,2025-08-05T03:13:23,Card,SUCCESS,,469.64
PAY000000091,O000000067,1,2025-08-06T22:35:14,UPI,SUCCESS,,5485.44
PAY000000092,O000000068,1,2025-08-06T16:30:55,Card,SUCCESS,,11811.93
PAY000000093,O000000069,1,2025-08-06T17:38:42,Card,SUCCESS,,5353.95
PAY000000094,O000000070,1,2025-08-06T13:57:39,COD,SUCCESS,,4416.36
PAY000000095,O000000071,1,2025-08-06T18:55:37,Card,FAILED,CARD_DECLINED,2434.97
PAY000000096,O000000071,2,2025-08-06T18:52:53,Card,SUCCESS,,2434.97
PAY000000097,O000000072,1,2025-08-06T02:28:11,Card,FAILED,INSUFFICIENT_FUNDS,22225.67
PAY000000098,O000000072,2,2025-08-06T02:39:09,Card,SUCCESS,,22225.67
PAY000000099,O000000073,1,2025-08-06T05:33:46,COD,SUCCESS,,2742.72
PAY000000100,O000000074,1,2025-08-06T12:57:42,NetBanking,SUCCESS,,9350.58
PAY000000101,O000000075,1,2025-08-06T03:48:29,Card,SUCCESS,,5902.63
PAY000000102,O000000076,1,2025-08-06T10:05:01,NetBanking,FAILED,CARD_DECLINED,6529.6
PAY000000103,O000000076,2,2025-08-06T10:14:18,NetBanking,FAILED,CARD_DECLINED,6529.6
PAY000000104,O000000076,3,2025-08-06T10:13:37,NetBanking,SUCCESS,,6529.6
PAY000000105,O000000077,1,2025-08-06T19:14:27,COD,SUCCESS,,10392.97
PAY000000106,O000000078,1,2025-08-06T04:04:04,Card,SUCCESS,,881.18
PAY000000107,O000000079,1,2025-08-06T21:10:20,COD,SUCCESS,,3628.18
PAY000000108,O000000080,1,2025-08-06T00:42:08,Card,FAILED,UPI_PIN_ERROR,904.88
PAY000000109,O000000080,2,2025-08-06T00:48:35,Card,SUCCESS,,904.88
PAY000000110,O000000081,1,2025-08-06T19:02:06,UPI,SUCCESS,,9041.8
PAY000000111,O000000082,1,2025-08-06T02:13:14,UPI,SUCCESS,,2023.29
PAY000000112,O000000083,1,2025-08-06T16:04:18,UPI,FAILED,CARD_DECLINED,621.56
PAY000000113,O000000083,2,2025-08-06T16:08:16,UPI,SUCCESS,,621.56
PAY000000114,O000000084,1,2025-08-06T02:26:31,Card,FAILED,UPI_PIN_ERROR,8242.21
PAY000000115,O000000084,2,2025-08-06T02:30:10,Card,FAILED,CARD_DECLINED,8242.21
PAY000000116,O000000084,3,2025-08-06T02:31:07,Card,FAILED,UPI_PIN_ERROR,8242.21
PAY000000117,O000000084,4,2025-08-06T02:33:03,Card,FAILED,CARD_DECLINED,8242.21
PAY000000118,O000000084,5,2025-08-06T02:29:15,Card,FAILED,CARD_DECLINED,8242.21
PAY000000119,O000000084,6,2025-08-06T02:36:23,Card,FAILED,CARD_DECLINED,8242.21
PAY000000120,O000000085,1,2025-08-06T04:31:20,COD,SUCCESS,,5927.37
PAY000000121,O000000086,1,2025-08-06T11:00:08,UPI,SUCCESS,,4118.32
PAY000000122,O000000087,1,2025-08-06T20:24:27,Card,FAILED,FRAUD_SUSPECTED,9655.99
PAY000000123,O000000087,2,2025-08-06T20:27:04,Card,SUCCESS,,9655.99
PAY000000124,O000000088,1,2025-08-06T20:17:27,Card,SUCCESS,,2820.99
PAY000000125,O000000089,1,2025-08-06T13:29:00,Card,FAILED,BANK_TIMEOUT,33322.57
PAY000000126,O000000089,2,2025-08-06T13:42:33,Card,SUCCESS,,33322.57
PAY000000127,O000000090,1,2025-08-07T11:19:32,COD,SUCCESS,,1465.58
PAY000000128,O000000091,1,2025-08-07T09:53:22,Card,FAILED,BANK_TIMEOUT,7339.44
PAY000000129,O000000091,2,2025-08-07T09:56:03,Card,SUCCESS,,7339.44
PAY000000130,O000000092,1,2025-08-07T13:14:16,UPI,SUCCESS,,8831.96
PAY000000131,O000000093,1,2025-08-07T01:08:00,UPI,SUCCESS,,773.71
PAY000000132,O000000094,1,2025-08-07T18:13:28,COD,SUCCESS,,768.27
PAY000000133,O000000095,1,2025-08-07T14:53:23,COD,SUCCESS,,579.0
PAY000000134,O000000096,1,2025-08-07T16:10:11,Wallet,SUCCESS,,1692.74
PAY000000135,O000000097,1,2025-08-07T14:58:31,Card,FAILED,CARD_DECLINED,4731.08
PAY000000136,O000000097,2,2025-08-07T15:01:52,Card,SUCCESS,,4731.08
PAY000000137,O000000098,1,2025-08-07T22:58:21,UPI,SUCCESS,,2053.09
PAY000000138,O000000099,1,2025-08-07T06:25:41,COD,SUCCESS,,1627.26
PAY000000139,O000000100,1,2025-08-07T18:59:20,COD,SUCCESS,,8721.03
PAY000000140,O000000101,1,2025-08-07T01:33:27,UPI,FAILED,CARD_DECLINED,6394.78
PAY000000141,O000000101,2,2025-08-07T01:32:29,UPI,SUCCESS,,6394.78
PAY000000142,O000000102,1,2025-08-07T07:34:36,Card,SUCCESS,,4966.24
PAY000000143,O000000103,1,2025-08-07T20:26:47,Card,SUCCESS,,6766.46
PAY000000144,O000000104,1,2025-08-07T15:07:50,COD,SUCCESS,,9205.43
PAY000000145,O000000105,1,2025-08-07T20:59:45,Card,success,,2611.71
PAY000000146,O000000106,1,2025-08-07T09:59:12,Card,FAILED,CARD_DECLINED,5039.51
PAY000000147,O000000106,2,2025-08-07T10:02:49,Card,SUCCESS,,5039.51
PAY000000148,O000000107,1,2025-08-07T13:05:41,NetBanking,FAILED,INSUFFICIENT_FUNDS,5050.96
PAY000000149,O000000107,2,2025-08-07T13:23:33,NetBanking,SUCCESS,,5050.96
PAY000000150,O000000108,1,2025-08-07T18:39:01,NetBanking,FAILED,CARD_DECLINED,12749.53
PAY000000151,O000000108,2,2025-08-07T18:46:28,NetBanking,SUCCESS,,12749.53
PAY000000152,O000000109,1,2025-08-07T22:41:36,UPI,FAILED,INSUFFICIENT_FUNDS,1355.02
PAY000000153,O000000109,2,2025-08-07T22:56:51,UPI,SUCCESS,,1355.02
PAY000000154,O000000110,1,2025-08-07T13:40:51,COD,SUCCESS,,10739.44
PAY000000155,O000000111,1,2025-08-07T05:30:35,UPI,FAILED,CARD_DECLINED,4682.58
PAY000000156,O000000111,2,2025-08-07T05:38:39,UPI,SUCCESS,,4682.58
PAY000000157,O000000112,1,2025-08-07T18:21:16,COD,SUCCESS,,6097.17
PAY000000158,O000000113,1,2025-08-08T13:01:45,Card,FAILED,BANK_TIMEOUT,10932.45
PAY000000159,O000000113,2,2025-08-08T13:11:48,Card,SUCCESS,,10932.45
PAY000000160,O000000114,1,2025-08-08T12:32:26,Card,FAILED,CARD_DECLINED,13244.1
PAY000000161,O000000114,2,2025-08-08T12:38:12,Card,SUCCESS,,13244.1
PAY000000162,O000000115,1,2025-08-08T06:24:04,Card,FAILED,INSUFFICIENT_FUNDS,10662.57
PAY000000163,O000000115,2,2025-08-08T06:26:50,Card,SUCCESS,,10662.57
PAY000000164,O000000116,1,2025-08-08T19:14:45,COD,SUCCESS,,14611.47
PAY000000165,O000000117,1,2025-08-08T21:16:07,Card,SUCCESS,,5983.81
PAY000000166,O000000118,1,2025-08-08T16:48:00,UPI,SUCCESS,,3628.62
PAY000000167,O000000119,1,2025-08-08T18:33:33,NetBanking,SUCCESS,,7243.66
PAY000000168,O000000120,1,2025-08-08T11:12:21,Card,success,,2705.43
PAY000000169,O000000121,1,2025-08-08T17:23:34,COD,SUCCESS,,10826.53
PAY000000170,O000000122,1,2025-08-08T01:26:58,Card,SUCCESS,,1551.7
PAY000000171,O000000123,1,2025-08-08T06:33:53,COD,SUCCESS,,270.38
PAY000000172,O000000124,1,2025-08-08T14:25:02,COD,SUCCESS,,280.94
PAY000000173,O000000125,1,2025-08-08T21:56:07,UPI,SUCCESS,,4526.36
PAY000000174,O000000126,1,2025-08-08T04:14:30,COD,SUCCESS,,6246.44
PAY000000175,O000000127,1,2025-08-08T19:45:34,UPI,FAILED,INSUFFICIENT_FUNDS,14800.25
PAY000000176,O000000127,2,2025-08-08T20:01:19,UPI,SUCCESS,,14800.25
PAY000000177,O000000128,1,2025-08-08T00:51:51,UPI,FAILED,BANK_TIMEOUT,459.24
PAY000000178,O000000128,2,2025-08-08T00:59:25,UPI,SUCCESS,,459.24
PAY000000179,O000000129,1,2025-08-08T02:27:11,COD,SUCCESS,,1200.39
PAY000000180,O000000130,1,2025-08-08T21:47:02,Card,FAILED,CARD_DECLINED,19399.43
PAY000000181,O000000130,2,2025-08-08T21:51:20,Card,FAILED,CARD_DECLINED,19399.43
PAY000000182,O000000130,3,2025-08-08T21:52:19,Card,FAILED,INSUFFICIENT_FUNDS,19399.43
PAY000000183,O000000130,4,2025-08-08T21:58:35,Card,FAILED,BANK_TIMEOUT,19399.43
PAY000000184,O000000130,5,2025-08-08T21:57:24,Card,FAILED,BANK_TIMEOUT,19399.43
PAY000000185,O000000130,6,2025-08-08T21:56:23,Card,FAILED,INSUFFICIENT_FUNDS,19399.43
PAY000000186,O000000130,7,2025-08-08T21:56:00,Card,FAILED,CARD_DECLINED,19399.43
PAY000000187,O000000130,8,2025-08-08T22:03:48,Card,SUCCESS,,19399.43
PAY000000188,O000000131,1,2025-08-08T10:41:31,UPI,SUCCESS,,5621.08
PAY000000189,O000000132,1,2025-08-08T14:07:55,Card,SUCCESS,,3249.36
PAY000000190,O000000133,1,2025-08-09T10:22:31,Wallet,SUCCESS,,5946.32
PAY000000191,O000000134,1,2025-08-09T01:37:54,COD,SUCCESS,,5116.7
PAY000000192,O000000135,1,2025-08-09T03:51:59,COD,SUCCESS,,18176.09
PAY000000193,O000000136,1,2025-08-09T23:34:34,Card,FAILED,INSUFFICIENT_FUNDS,11508.05
PAY000000194,O000000136,2,2025-08-09T23:48:46,Card,SUCCESS,,11508.05
PAY000000195,O000000137,1,2025-08-09T12:34:19,NetBanking,FAILED,FRAUD_SUSPECTED,9188.19
PAY000000196,O000000137,2,2025-08-09T12:37:02,NetBanking,SUCCESS,,9188.19
PAY000000197,O000000138,1,2025-08-09T11:57:04,NetBanking,FAILED,UPI_PIN_ERROR,6448.95
PAY000000198,O000000138,2,2025-08-09T12:03:09,NetBanking,SUCCESS,,6448.95
PAY000000199,O000000139,1,2025-08-09T06:05:26,Card,SUCCESS,,7204.81
PAY000000200,O000000140,1,2025-08-09T21:41:45,Card,SUCCESS,,7362.51
PAY000000201,O000000141,1,2025-08-09T13:46:07,Card,FAILED,BANK_TIMEOUT,3877.29
PAY000000202,O000000141,2,2025-08-09T13:50:58,Card,SUCCESS,,3877.29
PAY000000203,O000000142,1,2025-08-09T16:33:10,NetBanking,SUCCESS,,10007.43
PAY000000204,O000000143,1,2025-08-09T15:49:15,UPI,FAILED,BANK_TIMEOUT,1650.72
PAY000000205,O000000143,2,2025-08-09T15:55:09,UPI,SUCCESS,,1650.72
PAY000000206,O000000144,1,2025-08-09T13:16:44,UPI,SUCCESS,,23640.33
PAY000000207,O000000145,1,2025-08-09T00:27:26,Card,SUCCESS,,1194.75
PAY000000208,O000000146,1,2025-08-09T09:59:35,COD,SUCCESS,,8705.36
PAY000000209,O000000147,1,2025-08-09T04:57:11,COD,SUCCESS,,2025.74
PAY000000210,O000000148,1,2025-08-09T01:24:26,UPI,FAILED,UPI_PIN_ERROR,11653.9
PAY000000211,O000000148,2,2025-08-09T01:24:15,UPI,FAILED,INSUFFICIENT_FUNDS,11653.9
PAY000000212,O000000148,3,2025-08-09T01:26:28,UPI,SUCCESS,,11653.9
PAY000000213,O000000149,1,2025-08-09T04:23:08,Card,SUCCESS,,3540.46
PAY000000214,O000000150,1,2025-08-09T16:39:01,Card,SUCCESS,,1633.27
PAY000000215,O000000151,1,2025-08-09T14:53:11,UPI,SUCCESS,,529.35
PAY000000216,O000000152,1,2025-08-09T20:37:06,COD,SUCCESS,,1354.56
PAY000000217,O000000153,1,2025-08-09T09:22:32,NetBanking,SUCCESS,,15519.81
PAY000000218,O000000154,1,2025-08-09T07:59:01,UPI,FAILED,INSUFFICIENT_FUNDS,9441.44
PAY000000219,O000000154,2,2025-08-09T08:00:17,UPI,SUCCESS,,9441.44
PAY000000220,O000000155,1,2025-08-10T15:29:40,COD,SUCCESS,,1858.26
PAY000000221,O000000156,1,2025-08-10T13:17:51,COD,SUCCESS,,5485.44
PAY000000222,O000000157,1,2025-08-10T12:08:14,Card,SUCCESS,,6694.29
PAY000000223,O000000158,1,2025-08-10T15:49:24,UPI,SUCCESS,,25721.86
PAY000000224,O000000159,1,2025-08-10T23:55:16,Card,SUCCESS,,5980.64
PAY000000225,O000000160,1,2025-08-10T05:37:26,Card,SUCCESS,,4110.58
PAY000000226,O000000161,1,2025-08-10T18:44:03,COD,SUCCESS,,4209.33
PAY000000227,O000000162,1,2025-08-10T12:41:34,Card,SUCCESS,,560.48
PAY000000228,O000000163,1,2025-08-10T21:32:52,COD,SUCCESS,,8695.2
PAY000000229,O000000164,1,2025-08-10T12:30:08,Card,SUCCESS,,7070.15
PAY000000230,O000000165,1,2025-08-10T13:48:15,Card,FAILED,FRAUD_SUSPECTED,4626.77
PAY000000231,O000000165,2,2025-08-10T13:51:01,Card,SUCCESS,,4626.77
PAY000000232,O000000166,1,2025-08-10T04:45:06,UPI,SUCCESS,,7789.28
PAY000000233,O000000167,1,2025-08-10T07:55:03,NetBanking,SUCCESS,,3105.9
PAY000000234,O000000168,1,2025-08-10T06:15:36,NetBanking,FAILED,UPI_PIN_ERROR,6257.52
PAY000000235,O000000168,2,2025-08-10T06:15:14,NetBanking,SUCCESS,,6257.52
PAY000000236,O000000169,1,2025-08-10T18:06:40,UPI,SUCCESS,,7106.94
PAY000000237,O000000170,1,2025-08-10T19:55:28,COD,SUCCESS,,9803.18
PAY000000238,O000000171,1,2025-08-10T15:25:30,COD,SUCCESS,,27775.33
PAY000000239,O000000172,1,2025-08-11T16:37:19,Card,SUCCESS,,14403.34
PAY000000240,O000000173,1,2025-08-11T05:00:18,UPI,SUCCESS,,1506.24
PAY000000241,O000000174,1,2025-08-11T19:02:42,UPI,FAILED,UPI_PIN_ERROR,9898.88
PAY000000242,O000000174,2,2025-08-11T19:11:06,UPI,SUCCESS,,9898.88
PAY000000243,O000000175,1,2025-08-11T02:30:15,UPI,SUCCESS,,10470.58
PAY000000244,O000000176,1,2025-08-11T15:58:36,NetBanking,SUCCESS,,6003.17
PAY000000245,O000000177,1,2025-08-11T12:31:17,NetBanking,FAILED,FRAUD_SUSPECTED,890.59
PAY000000246,O000000177,2,2025-08-11T12:44:11,NetBanking,SUCCESS,,890.59
PAY000000247,O000000178,1,2025-08-11T09:02:36,Card,SUCCESS,,13190.76
PAY000000248,O000000179,1,2025-08-11T08:50:26,Card,SUCCESS,,5104.56
PAY000000249,O000000180,1,2025-08-11T01:51:57,UPI,SUCCESS,,17206.07
PAY000000250,O000000181,1,2025-08-11T17:40:47,COD,SUCCESS,,3554.38
PAY000000251,O000000182,1,2025-08-11T23:09:14,UPI,FAILED,FRAUD_SUSPECTED,5801.95
PAY000000252,O000000182,2,2025-08-11T23:14:53,UPI,SUCCESS,,5801.95
PAY000000253,O000000183,1,2025-08-11T08:43:57,UPI,SUCCESS,,4095.12
PAY000000254,O000000184,1,2025-08-11T20:20:04,Card,SUCCESS,,1655.6
PAY000000255,O000000185,1,2025-08-11T15:34:58,Card,SUCCESS,,5619.37
PAY000000256,O000000186,1,2025-08-11T22:23:59,COD,SUCCESS,,6958.21
PAY000000257,O000000187,1,2025-08-11T05:56:06,COD,SUCCESS,,5230.48
PAY000000258,O000000188,1,2025-08-11T05:52:17,Wallet,FAILED,INSUFFICIENT_FUNDS,2511.65
PAY000000259,O000000188,2,2025-08-11T05:54:15,Wallet,SUCCESS,,2511.65
PAY000000260,O000000189,1,2025-08-11T23:10:25,UPI,SUCCESS,,6220.82
PAY000000261,O000000190,1,2025-08-12T02:06:29,Wallet,SUCCESS,,502.76
PAY000000262,O000000191,1,2025-08-12T18:11:15,Card,SUCCESS,,794.42
PAY000000263,O000000192,1,2025-08-12T20:20:13,NetBanking,SUCCESS,,1800.74
PAY000000264,O000000193,1,2025-08-12T02:54:59,COD,SUCCESS,,2735.21
PAY000000265,O000000194,1,2025-08-12T07:17:54,Card,FAILED,UPI_PIN_ERROR,7713.32
PAY000000266,O000000194,2,2025-08-12T07:27:02,Card,SUCCESS,,7713.32
PAY000000267,O000000195,1,2025-08-12T07:15:27,COD,SUCCESS,,2356.89
PAY000000268,O000000196,1,2025-08-12T13:03:47,COD,SUCCESS,,3330.72
PAY000000269,O000000197,1,2025-08-12T14:20:41,COD,SUCCESS,,9268.57
PAY000000270,O000000198,1,2025-08-12T03:00:10,UPI,SUCCESS,,4523.65
PAY000000271,O000000199,1,2025-08-12T19:07:36,COD,SUCCESS,,2773.98
PAY000000272,O000000200,1,2025-08-12T02:31:17,UPI,SUCCESS,,1191.63
PAY000000273,O000000201,1,2025-08-12T20:34:17,COD,SUCCESS,,4122.46
PAY000000274,O000000202,1,2025-08-12T14:15:58,Card,FAILED,UPI_PIN_ERROR,6162.03
PAY000000275,O000000202,2,2025-08-12T14:11:29,Card,FAILED,BANK_TIMEOUT,6162.03
PAY000000276,O000000202,3,2025-08-12T14:26:16,Card,SUCCESS,,6162.03
PAY000000277,O000000203,1,2025-08-12T13:10:33,COD,SUCCESS,,14549.95
PAY000000278,O000000204,1,2025-08-12T03:28:32,COD,SUCCESS,,9376.76
PAY000000279,O000000205,1,2025-08-12T11:49:57,Card,SUCCESS,,5727.33
PAY000000280,O000000206,1,2025-08-12T11:57:26,COD,SUCCESS,,7089.53
PAY000000281,O000000207,1,2025-08-12T17:22:03,COD,SUCCESS,,7546.54
PAY000000282,O000000208,1,2025-08-12T04:19:14,UPI,FAILED,INSUFFICIENT_FUNDS,2901.39
PAY000000283,O000000208,2,2025-08-12T04:17:13,UPI,SUCCESS,,2901.39
PAY000000284,O000000209,1,2025-08-12T13:06:07,NetBanking,SUCCESS,,6192.08
PAY000000285,O000000210,1,2025-08-12T07:53:01,UPI,SUCCESS,,7700.48
PAY000000286,O000000211,1,2025-08-12T10:33:14,NetBanking,SUCCESS,,5018.59
PAY000000287,O000000212,1,2025-08-12T05:00:33,UPI,SUCCESS,,6689.66
PAY000000288,O000000213,1,2025-08-12T21:11:30,Wallet,FAILED,UPI_PIN_ERROR,33263.46
PAY000000289,O000000213,2,2025-08-12T21:11:12,Wallet,SUCCESS,,33263.46
PAY000000290,O000000214,1,2025-08-12T15:05:25,NetBanking,FAILED,CARD_DECLINED,7889.38
PAY000000291,O000000214,2,2025-08-12T15:12:57,NetBanking,SUCCESS,,7889.38
PAY000000292,O000000215,1,2025-08-12T03:25:32,Card,FAILED,CARD_DECLINED,6764.17
PAY000000293,O000000215,2,2025-08-12T03:28:02,Card,FAILED,INSUFFICIENT_FUNDS,6764.17
PAY000000294,O000000215,3,2025-08-12T03:30:43,Card,Success,,6764.17
PAY000000295,O000000216,1,2025-08-13T19:59:31,COD,SUCCESS,,8932.83
PAY000000296,O000000217,1,2025-08-13T02:00:53,UPI,FAILED,INSUFFICIENT_FUNDS,1181.84
PAY000000297,O000000217,2,2025-08-13T02:04:31,UPI,FAILED,UPI_PIN_ERROR,1181.84
PAY000000298,O000000217,3,2025-08-13T02:18:23,UPI,SUCCESS,,1181.84
PAY000000299,O000000218,1,2025-08-13T09:45:26,UPI,SUCCESS,,4430.67
PAY000000300,O000000219,1,2025-08-13T11:51:45,Card,FAILED,UPI_PIN_ERROR,2490.54
PAY000000301,O000000219,2,2025-08-13T11:57:53,Card,SUCCESS,,2490.54
