order_id,session_id,user_id,order_ts,channel,device,device_id,ip_hash,shipping_pincode,city_tier,payment_method,coupon_id,gross_amount,discount_amount,shipping_amount,net_amount,promo_flag,order_status
O000000079,S000001950,U001051,2025-08-06T21:06:53,paid_social,web,Dadb6af57fc,IPff5d1fb749,577522,2,COD,,3628.18,0.0,0.0,3628.18,0,PLACED
O000000080,S000001966,U001780,2025-08-06T00:36:16,organic,mobile,D5361dd559e,IPbca84338d8,577742,2,Card,SHIPFREE,984.88,80.0,0.0,904.88,0,PLACED
O000000081,S000002005,U003166,2025-08-06T18:42:54,paid_social,mobile,Dbd2f4f628a,IPc459083116,575438,1,UPI,,9041.8,0.0,0.0,9041.8,0,PLACED
O000000082,S000002026,U000874,2025-08-06T02:08:11,referral,mobile,D55e47e9b8a,IP41d7165efc,568375,3,UPI,,2023.29,0.0,0.0,2023.29,0,PLACED
O000000083,S000002027,U001941,2025-08-06T15:59:32,organic,web,De133d56fe0,IPcd2309c082,571541,2,UPI,CPN008,771.56,150.0,0.0,621.56,0,PLACED
O000000084,S000002045,U000143,2025-08-06T02:24:14,paid_social,web,D55fb57f5af,IPad5a94ce50,563967,1,Card,,8242.21,0.0,0.0,8242.21,0,CANCELLED_PAYMENT_FAILED
O000000085,S000002054,U002243,2025-08-06T04:27:19,organic,web,Df4a0fd7cd0,IPca5ddb071a,579266,2,COD,,5927.37,0.0,0.0,5927.37,0,PLACED
O000000086,S000002074,U002787,2025-08-06T10:53:07,search,web,Df7a454c467,IPd92f9db146,572398,2,UPI,,4118.32,0.0,0.0,4118.32,0,PLACED
O000000087,S000002076,,2025-08-06T20:21:01,organic,web,D_G_72a5ca48a5,IPae80317d91,564941,,Card,,9655.99,0.0,0.0,9655.99,0,PLACED
O000000088,S000002087,U001175,2025-08-06T20:10:38,search,web,D483fa83ddd,IP4acfe409cc,576334,2,Card,,2820.99,0.0,0.0,2820.99,0,PLACED
O000000089,S000002116,U001860,2025-08-06T13:26:33,organic,web,Dcbf91ba49e,IP51190c0879,579236,2,Card,FLASH40,33822.57,500.0,0.0,33322.57,0,PLACED
O000000090,S000002144,U000125,2025-08-07T11:17:13,search,web,D_RING_04,IP_RING_SHAR,565285,2,COD,,1465.58,0.0,0.0,1465.58,0,PLACED
O000000091,S000002173,U001933,2025-08-07T09:45:54,search,web,D88f0c75c79,IPc4c42efc9f,573709,2,Card,CPN012,7639.44,300.0,0.0,7339.44,0,PLACED
O000000092,S000002175,U002165,2025-08-07T13:04:18,paid_social,mobile,D14455f0332,IP8d35a48dd8,,1,UPI,,8831.96,0.0,0.0,8831.96,0,PLACED
O000000093,S000002191,U001905,2025-08-07T01:05:43,search,mobile,D749b5765cf,IPee84171765,574621,2,UPI,SHIPFREE,853.71,80.0,0.0,773.71,0,PLACED
O000000094,S000002196,U001610,2025-08-07T18:12:20,search,mobile,D51d4e6e87a,IP12764178bf,575139,2,COD,,768.27,0.0,0.0,768.27,0,PLACED
O000000095,S000002237,U001466,2025-08-07T14:50:48,referral,web,Dd704f8fd9f,IPa863b6da17,577522,3,COD,,579.0,0.0,0.0,579.0,0,PLACED
O000000096,S000002255,U001341,2025-08-07T15:56:37,organic,mobile,Dac05f40c86,IPb0f6f166c6,571541,2,Wallet,CPN014,1812.74,120.0,0.0,1692.74,0,PLACED
O000000097,S000002325,U001165,2025-08-07T14:49:18,organic,web,D1eab532e79,IP70a500d020,565894,3,Card,,4731.08,0.0,0.0,4731.08,0,PLACED
O000000098,S000002329,U001225,2025-08-07T22:42:33,referral,web,Dc8626af76d,IPf04999113b,575614,1,UPI,SHIPFREE,2133.09,80.0,0.0,2053.09,0,PLACED
O000000099,S000002343,U001355,2025-08-07T06:23:23,referral,web,D532af49365,IP97f8a46d14,577626,1,COD,CPN008,1777.26,150.0,0.0,1627.26,0,PLACED
O000000100,S000002361,,2025-08-07T18:55:13,search,mobile,D_G_bbe8673d80,IP4dca815631,568470,,COD,,8721.03,0.0,0.0,8721.03,0,PLACED
O000000101,S000002371,U000918,2025-08-07T01:26:32,organic,mobile,Def4e7d0cbe,IP4972c59f9e,578600,3,UPI,SHIPFREE,6474.78,80.0,0.0,6394.78,0,PLACED
O000000102,S000002377,U002003,2025-08-07T07:31:21,search,web,D4e96823c10,IP7f213aabdc,568375,2,Card,,4966.24,0.0,0.0,4966.24,0,PLACED
O000000103,S000002466,U000427,2025-08-07T20:10:22,referral,web,D3a99fc3e24,IPd62a9817ec,575618,2,Card,,6766.46,0.0,0.0,6766.46,0,PLACED
O000000104,S000002474,U003087,2025-08-07T15:06:32,referral,web,D9f35167e79,IPf2a5730a96,579266,2,COD,,9205.43,0.0,0.0,9205.43,0,PLACED
O000000105,S000002475,U000007,2025-08-07T20:47:45,organic,web,Db7b31ed68b,IP5995928dc1,571222,2,Card,SHIPFREE,2691.71,80.0,0.0,2611.71,0,PLACED
O000000106,S000002489,U000620,2025-08-07T09:56:45,search,web,Dae69ff83c5,IPd341d839bb,575438,3,Card,,5039.51,0.0,0.0,5039.51,0,PLACED
O000000107,S000002501,U002637,2025-08-07T13:04:24,paid_social,web,D198985900c,IP28d5004070,575439,1,NetBanking,FLAT150,5200.96,150.0,0.0,5050.96,0,PLACED
O000000108,S000002502,U000452,2025-08-07T18:33:05,referral,web,D88998ad284,IP13c0f66150,575692,2,NetBanking,,12749.53,0.0,0.0,12749.53,0,PLACED
O000000109,S000002503,U000467,2025-08-07T22:39:45,paid_social,,D16a2dff553,IP3a8d3aefca,575439,2,UPI,,1355.02,0.0,0.0,1355.02,0,PLACED
O000000110,S000002527,U002443,2025-08-07T13:37:21,referral,mobile,D3417c025ef,IP15db0892d6,563967,1,COD,,10739.44,0.0,0.0,10739.44,0,PLACED
O000000111,S000002537,,2025-08-07T05:26:42,referral,web,D_G_0c07f9ee7a,IPd31ba30c19,566212,,UPI,CPN014,4802.58,120.0,0.0,4682.58,0,PLACED
O000000112,S000002565,U002485,2025-08-07T18:19:07,paid_social,mobile,D886d5a8604,IPa0d48f9f7e,568375,1,COD,,6097.17,0.0,0.0,6097.17,0,PLACED
O000000113,S000002597,,2025-08-08T13:00:47,organic,mobile,D_G_34a906d0cd,IP4766159453,569602,,Card,CPN008,11082.45,150.0,0.0,10932.45,0,PLACED
O000000114,S000002602,U002037,2025-08-08T12:24:40,organic,web,Dcfcd0396f9,IP82de9407af,577548,3,Card,,13244.1,0.0,0.0,13244.1,0,PLACED
O000000115,S000002606,U001548,2025-08-08T06:21:22,organic,mobile,Dd033aeefd5,IP110c67fde9,575139,3,Card,,10662.57,0.0,0.0,10662.57,0,PLACED
O000000116,S000002615,U001720,2025-08-08T19:13:02,search,mobile,Db84899ce6c,IP723c9cf3fc,579884,1,COD,,14611.47,0.0,0.0,14611.47,0,PLACED
O000000117,S000002635,U000929,2025-08-08T20:58:20,REFERRAL,mobile,D7af1ed58ea,IPe79949e120,572788,2,Card,,5983.81,0.0,0.0,5983.81,0,PLACED
O000000118,S000002642,U000154,2025-08-08T16:42:16,organic,mobile,D02386056a0,IP3cd421633e,572276,2,UPI,,3628.62,0.0,0.0,3628.62,0,PLACED
O000000119,S000002677,,2025-08-08T18:16:18,search,web,D_G_ea2e007cd5,IP4822583792,569319,,NetBanking,,7243.66,0.0,0.0,7243.66,0,PLACED
O000000120,S000002680,U001049,2025-08-08T11:02:05,organic,mobile,De869d0e9b9,IPbfc42f19e1,576422,2,Card,,2705.43,0.0,0.0,2705.43,0,PLACED
O000000121,S000002688,U002745,2025-08-08T17:19:51,organic,mobile,Dba77e88431,IPce4853f303,572769,2,COD,CPN008,10976.53,150.0,0.0,10826.53,0,PLACED
O000000122,S000002710,U000513,2025-08-08T01:13:49,email,web,Df67b00defe,IP8330f5d01a,577545,2,Card,,1551.7,0.0,0.0,1551.7,0,PLACED
O000000123,S000002715,U002493,2025-08-08T06:31:13,organic,web,D7168fa60dd,IPeab04e4c1d,577522,2,COD,,233.09,0.0,37.29,270.38,0,PLACED
O000000124,S000002737,U001049,2025-08-08T14:22:33,organic,mobile,De869d0e9b9,IP03b3de272b,576422,2,COD,,243.98,0.0,36.96,280.94,0,PLACED
O000000125,S000002783,U002388,2025-08-08T21:42:35,email,web,D33a446e4fd,IP2555eeefff,577626,1,UPI,,4526.36,0.0,0.0,4526.36,0,PLACED
O000000126,S000002793,U002341,2025-08-08T04:13:21,search,mobile,D3eec9483bc,IP28f51f1063,574081,1,COD,CPN008,6396.44,150.0,0.0,6246.44,0,PLACED
O000000127,S000002844,U000781,2025-08-08T19:43:33,paid_social,web,D40dcb0ecfc,IP4eb1f366dc,574360,1,UPI,,14800.25,0.0,0.0,14800.25,0,PLACED
O000000128,S000002909,U001265,2025-08-08T00:42:38,organic,mobile,Df950417478,IPd35d87250c,572276,2,UPI,GROC10,429.67,42.97,72.54,459.24,0,PLACED
O000000129,S000002934,,2025-08-08T02:24:44,search,web,D_G_02852e7c5d,IP5a86daa7cc,563094,,COD,,1200.39,0.0,0.0,1200.39,0,PLACED
O000000130,S000002951,U000364,2025-08-08T21:45:36,organic,mobile,D70484ff9e3,IP407f1fffaf,572901,2,Card,,19399.43,0.0,0.0,19399.43,0,PLACED
O000000131,S000002960,U000166,2025-08-08T10:34:10,referral,web,Dd7a24b8a45,IP2d2a576dc8,563966,2,UPI,,5621.08,0.0,0.0,5621.08,0,PLACED
O000000132,S000002987,,2025-08-08T14:02:17,email,mobile,D_G_d302897697,IP25a5e1bd94,561386,,Card,,3249.36,0.0,0.0,3249.36,0,PLACED
O000000133,S000003028,U002882,2025-08-09T10:08:33,search,web,D66c5d3673e,IPc94889198b,577626,1,Wallet,,5946.32,0.0,0.0,5946.32,0,PLACED
O000000134,S000003065,U002448,2025-08-09T01:33:27,organic,web,D798d2509cc,IPccbb68c295,563967,1,COD,,5116.7,0.0,0.0,5116.7,0,PLACED
O000000135,S000003109,,2025-08-09T03:49:15,email,mobile,D_G_d3f6375dce,IP68183c4d3e,561250,,COD,,18176.09,0.0,0.0,18176.09,0,PLACED
O000000136,S000003113,U000430,2025-08-09T23:29:24,organic,mobile,D52f834cf1d,IPf5a6536094,575842,2,Card,,11508.05,0.0,0.0,11508.05,0,PLACED
O000000137,S000003173,U002165,2025-08-09T12:29:48,search,mobile,D14455f0332,IP2915f1660e,,1,NetBanking,SHIPFREE,9268.19,80.0,0.0,9188.19,0,PLACED
O000000138,S000003226,U002954,2025-08-09T11:52:03,search,mobile,Dae68b18bd9,IP6bc735032d,571647,2,NetBanking,,6448.95,0.0,0.0,6448.95,0,PLACED
O000000139,S000003267,,2025-08-09T05:46:52,search,web,D_G_f54b909ec1,IP8ab1669133,568759,,Card,,7204.81,0.0,0.0,7204.81,0,PLACED
O000000140,S000003278,U000115,2025-08-09T21:31:55,email,mobile,D191c27b85b,IP146a87e00d,578600,2,Card,,7362.51,0.0,0.0,7362.51,0,PLACED
O000000141,S000003287,U001867,2025-08-09T13:41:54,organic,mobile,De4c1530592,IP9aad42492e,573828,3,Card,FASHION30,4277.29,400.0,0.0,3877.29,0,PLACED
O000000142,S000003294,U001736,2025-08-09T16:24:34,organic,web,Db59a019a63,IP80a83dfa15,579260,1,NetBanking,,10007.43,0.0,0.0,10007.43,0,PLACED
O000000143,S000003310,U000369,2025-08-09T15:44:16,organic,mobile,Df6747e58f2,IPef5ade6d42,571541,1,UPI,,1650.72,0.0,0.0,1650.72,0,PLACED
O000000144,S000003315,U002840,2025-08-09T13:10:28,referral,mobile,D59a54dd0ef,IP272a9944fc,575674,2,UPI,,23640.33,0.0,0.0,23640.33,0,PLACED
O000000145,S000003322,U003110,2025-08-09T00:17:07,organic,mobile,Dd1d636cd25,IP1a8e2043bd,575692,2,Card,WELCOME20,1603.01,408.26,0.0,1194.75,0,PLACED
O000000146,S000003329,U002372,2025-08-09T09:57:24,referral,web,Db9a743abbd,IP20c58a3d32,575139,2,COD,FLASH40,9205.36,500.0,0.0,8705.36,0,PLACED
O000000147,S000003386,U001070,2025-08-09T04:55:44,search,mobile,D717c6cc376,IP9d281dc76c,576334,2,COD,,2025.74,0.0,0.0,2025.74,0,PLACED
O000000148,S000003389,U001006,2025-08-09T01:22:19,email,web,D898c821f37,IP5618926e23,,3,UPI,,11653.9,0.0,0.0,11653.9,0,PLACED
O000000149,S000003400,U000475,2025-08-09T04:19:52,paid_social,web,D9e30c9932b,IP8146918b92,577970,2,Card,,3540.46,0.0,0.0,3540.46,0,PLACED
O000000150,S000003406,U001248,2025-08-09T16:32:43,email,web,Df411882c0b,IP547b8e5011,579501,1,Card,,1633.27,0.0,0.0,1633.27,0,PLACED
O000000151,S000003415,U000305,2025-08-09T14:34:51,organic,web,D63d65e5ba7,IP4bbb82fdc6,575692,1,UPI,,529.35,0.0,0.0,529.35,0,PLACED
O000000152,S000003421,U002198,2025-08-09T20:33:30,organic,mobile,De54ab6e28f,IP78a566208c,576422,2,COD,,1354.56,0.0,0.0,1354.56,0,PLACED
O000000153,S000003427,U001305,2025-08-09T09:15:27,referral,web,Dbeac9b8e23,IP67fd38e41b,575439,2,NetBanking,CPN014,15639.81,120.0,0.0,15519.81,0,PLACED
O000000154,S000003492,,2025-08-09T07:51:46,search,mobile,D_G_6dff2a57a2,IPceab06c53c,562502,,UPI,,9441.44,0.0,0.0,9441.44,0,PLACED
O000000155,S000003515,U000696,2025-08-10T15:27:36,organic,mobile,Debff1cc8d8,IPb5f015fd33,565894,2,COD,BEAUTY25,2158.26,300.0,0.0,1858.26,0,PLACED
O000000156,S000003595,,2025-08-10T13:14:19,search,mobile,D_G_8218076ea9,IP0b73e08e75,568384,,COD,,5485.44,0.0,0.0,5485.44,0,PLACED
O000000157,S000003609,U000339,2025-08-10T11:48:26,email,mobile,D8b8fbf2e9c,IPb0a4b66188,572149,2,Card,,6694.29,0.0,0.0,6694.29,0,PLACED
O000000158,S000003630,U000281,2025-08-10T15:45:27,paid_social,mobile,D_RING_04,IP_RING_SHAR,565285,3,UPI,,25721.86,0.0,0.0,25721.86,0,PLACED
O000000159,S000003681,,2025-08-10T23:46:14,search,web,D_G_5b096b2bb6,IP417aee4e13,567765,,Card,,5980.64,0.0,0.0,5980.64,0,PLACED
