rank,order_id,user_id,order_ts,net_amount,payment_method,coupon_id,shipping_pincode,risk_score,risk_band,reason_1,evidence_1,reason_2,evidence_2,reason_3,evidence_3,recommended_action,discount_pct,failed_attempts,device_orders_count,pincode_orders_count,days_since_signup,prior_refunds_count
16,O000003505,U001947,2025-12-21 08:42:12,5040.49,upi,flash40,565894.0,48,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=127,MANUAL_REVIEW,9.024472564700957,0,14,127,9999,0
17,O000001148,U001083,2025-09-18 13:46:34,16443.75,cod,none,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
18,O000003055,U002209,2025-12-04 15:20:00,11718.19,cod,cpn008,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,1.263882698204191,0,27,168,9999,0
19,O000000446,U001083,2025-08-22 15:36:47,9904.94,cod,none,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
20,O000000814,U003063,2025-09-05 03:28:53,7881.05,cod,none,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
21,O000001144,U002209,2025-09-18 00:49:39,1952.08,cod,flash40,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,20.390851848226813,0,27,168,9999,0
22,O000000750,U001083,2025-09-03 00:59:55,1552.32,cod,flash40,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,24.36267248772121,0,27,168,9999,0
23,O000004057,U001724,2026-01-11 02:51:22,1084.68,cod,none,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,31.552111467299394,0,27,168,9999,0
24,O000001063,U000753,2025-09-14 02:32:24,1031.94,cod,cpn009,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,7.194632803928269,0,27,168,9999,0
25,O000000832,U000319,2025-09-06 19:07:44,457.62,cod,none,563967.0,46,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
26,O000000784,U003131,2025-09-04 00:48:51,8208.38,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
27,O000001895,U003131,2025-10-18 22:03:38,5366.65,cod,fashion30,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,6.9364362324746605,0,19,164,9999,0
28,O000003044,U003131,2025-12-04 07:43:20,4487.28,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
29,O000002873,U003131,2025-11-27 12:25:22,4220.69,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
30,O000003572,U001494,2025-12-24 21:35:37,2524.21,cod,flash40,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,16.53324339248928,0,19,164,9999,0
31,O000002532,U002856,2025-11-11 18:07:37,1836.98,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
32,O000000788,U001193,2025-09-04 06:49:22,1540.3,cod,flash40,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,24.50620006861736,0,19,164,9999,0
33,O000001810,U001193,2025-10-14 23:01:56,1486.3,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
34,O000002747,U000486,2025-11-21 19:52:53,1341.28,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
35,O000004225,U001826,2026-01-17 03:02:31,907.24,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
36,O000002889,U003131,2025-11-27 08:54:18,828.27,cod,shipfree,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,8.807953582084622,0,19,164,9999,0
37,O000002857,U001482,2025-11-26 04:02:42,651.07,cod,none,568518.0,45,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
38,O000003808,U002769,2026-01-02 20:33:43,41051.82,cod,none,575588.0,42,Medium,COUPON_REPEAT_USER,coupon_orders_user=4,PINCODE_REUSE,pincode_orders_count=46,VALUE_OUTLIER,net_amount_z=7.31,MANUAL_REVIEW,0.0,0,6,46,9999,0
39,O000002228,U001536,2025-10-31 02:27:18,24275.38,cod,fashion30,572788.0,42,Medium,COUPON_REPEAT_USER,coupon_orders_user=5,PINCODE_REUSE,pincode_orders_count=39,VALUE_OUTLIER,net_amount_z=3.72,MANUAL_REVIEW,11.57377267374403,0,5,39,9999,0
40,O000003457,U001375,2025-12-20 01:32:40,20916.4,cod,none,565894.0,42,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,0.0,0,14,127,9999,1
41,O000002891,U002920,2025-11-27 03:03:42,10957.71,cod,none,565894.0,42,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,0.0,0,14,127,9999,0
42,O000004074,U002920,2026-01-12 13:10:25,5331.67,cod,none,565894.0,42,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,0.0,0,14,127,9999,0
43,O000000718,U002805,2025-09-02 16:39:27,4539.68,cod,none,569539.0,42,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,0.0,0,15,138,9999,0
44,O000001580,U001316,2025-10-05 17:07:45,1246.93,cod,none,565894.0,42,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,0.0,0,14,127,9999,1
45,O000003941,U000718,2026-01-07 11:15:13,5055.83,cod,cpn014,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,2.318468728686993,0,13,120,9999,0
46,O000002302,U000737,2025-11-03 04:15:11,3635.84,cod,none,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,0.0,0,13,120,9999,0
47,O000001507,U000125,2025-10-02 21:20:41,2121.75,cod,none,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,0.0,0,13,120,9999,0
48,O000000090,U000125,2025-08-07 11:17:13,1465.58,cod,none,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,0.0,0,13,120,9999,0
49,O000004220,U000281,2026-01-17 06:39:52,675.36,cod,cpn008,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,18.173887758069206,0,13,120,9999,0
50,O000002822,U000718,2025-11-24 01:43:56,350.81,cod,none,565285.0,41,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=120,DEVICE_REUSE,device_orders_count=13,MANUAL_REVIEW,0.0,0,13,120,9999,0
51,O000002860,U002778,2025-11-26 13:32:47,58010.23,cod,none,568375.0,40,Medium,PINCODE_REUSE,pincode_orders_count=124,REFUND_HISTORY,prior_refunds_count=2,VALUE_OUTLIER,net_amount_z=7.73,MANUAL_REVIEW,0.0,0,3,124,9999,2
52,O000004058,U000110,2026-01-11 00:32:09,19125.52,netbanking,none,578796.0,40,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,REFUND_HISTORY,prior_refunds_count=2,MANUAL_REVIEW,0.0,0,5,52,9999,2
53,O000000394,U000110,2025-08-20 04:43:28,14913.35,card,cpn008,578796.0,40,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,REFUND_HISTORY,prior_refunds_count=2,MANUAL_REVIEW,0.9957944281982427,0,5,52,9999,2
54,O000004025,U000960,2026-01-11 15:19:30,12712.31,wallet,flash40,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,3.784349595188124,0,27,168,9999,0
55,O000001274,U003063,2025-09-24 11:08:39,12040.82,netbanking,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
56,O000003275,U000533,2025-12-13 01:27:08,11787.93,upi,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,1
57,O000003524,U000533,2025-12-22 01:04:45,10945.26,upi,flash40,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,4.368620721591296,0,27,168,9999,1
58,O000002115,U000110,2025-10-27 15:47:07,10125.13,netbanking,flash40,578796.0,40,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,REFUND_HISTORY,prior_refunds_count=2,MANUAL_REVIEW,4.705824775790979,0,5,52,9999,2
59,O000001590,U002209,2025-10-05 10:38:38,7932.83,card,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
60,O000001519,U000110,2025-10-03 15:52:15,5754.0,upi,cpn014,578796.0,40,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,REFUND_HISTORY,prior_refunds_count=2,MANUAL_REVIEW,2.0429009193054135,0,5,52,9999,2
61,O000001747,U003063,2025-10-12 15:59:32,5426.66,upi,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
62,O000003677,U001602,2025-12-28 09:14:00,4067.89,upi,flash40,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,10.945972867122457,0,27,168,9999,0
63,O000002488,U003123,2025-11-09 18:01:56,3723.26,card,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
64,O000001173,U001326,2025-09-19 12:23:00,3348.46,card,flat150,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,4.287600830079521,0,27,168,9999,0
65,O000004619,U000110,2025-10-03 21:33:13,2372.82,card,none,578796.0,40,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,REFUND_HISTORY,prior_refunds_count=2,MANUAL_REVIEW,0.0,0,5,52,9999,2
66,O000001134,U000960,2025-09-18 11:41:06,2219.11,wallet,flash40,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,18.388369723917016,0,27,168,9999,0
67,O000001367,U000753,2025-09-27 21:19:23,321.3,upi,none,563967.0,40,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,0
68,O000003512,U000486,2025-12-22 17:34:33,18324.48,netbanking,none,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
69,O000002879,U000341,2025-11-27 12:08:22,12531.01,upi,none,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,1
70,O000002820,U002959,2025-11-24 23:46:13,7073.99,card,none,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
71,O000000527,U001430,2025-08-25 20:45:57,5149.28,upi,flash40,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,8.85068539707715,0,19,164,9999,0
72,O000001215,U000341,2025-09-21 18:04:07,502.63,upi,none,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,1
73,O000004010,U001494,2026-01-10 00:24:56,414.25,upi,none,568518.0,39,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
74,O000001872,U002316,2025-10-17 19:28:30,48522.55,upi,none,574573.0,38,Medium,COUPON_REPEAT_USER,coupon_orders_user=5,PINCODE_REUSE,pincode_orders_count=50,VALUE_OUTLIER,net_amount_z=8.29,MANUAL_REVIEW,0.0,0,9,50,9999,0
75,O000002634,U002998,2025-11-16 09:30:53,29788.38,upi,none,575438.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=38,VALUE_OUTLIER,net_amount_z=5.01,MANUAL_REVIEW,0.0,0,5,38,9999,0
76,O000001913,U002501,2025-10-18 08:07:42,24224.92,card,none,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,0.0,0,15,138,9999,0
77,O000000824,U002779,2025-09-06 21:18:57,21607.03,card,flash40,579266.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=52,VALUE_OUTLIER,net_amount_z=3.22,MANUAL_REVIEW,2.2617239855376323,0,5,52,9999,0
78,O000004051,U002372,2026-01-11 18:06:55,20528.81,card,flash40,575139.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=4,PINCODE_REUSE,pincode_orders_count=63,VALUE_OUTLIER,net_amount_z=5.06,MANUAL_REVIEW,2.377690416148132,0,5,63,9999,0
79,O000002494,U000195,2025-11-09 21:22:37,18160.16,upi,none,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,0.0,0,15,138,9999,1
80,O000002058,U001082,2025-10-24 05:40:44,12788.04,upi,none,565894.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,0.0,0,14,127,9999,0
81,O000000225,U002954,2025-08-14 00:04:15,11737.82,cod,none,571647.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=66,COD_ORDER,payment_method=cod,MANUAL_REVIEW,0.0,0,8,66,9999,0
82,O000004018,U000195,2026-01-10 00:30:03,9545.37,card,flat150,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,1.5471302281398234,0,15,138,9999,1
83,O000004594,U000733,2026-01-30 00:47:27,5620.1,card,flash40,565894.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,8.169801147040081,0,14,127,9999,0
84,O000001400,U001375,2025-09-28 08:38:37,4166.87,netbanking,none,565894.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,2.799245136894751,0,14,127,9999,1
85,O000003533,U002954,2025-12-23 10:54:11,4066.02,cod,none,571647.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=66,COD_ORDER,payment_method=cod,MANUAL_REVIEW,0.0,0,8,66,9999,0
86,O000000941,U002316,2025-09-10 05:30:23,3928.47,cod,welcome20,574573.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=5,PINCODE_REUSE,pincode_orders_count=50,DEVICE_REUSE,device_orders_count=9,MANUAL_REVIEW,5.983051212525158,0,9,50,9999,0
87,O000000772,U002954,2025-09-04 10:33:16,3862.51,cod,none,571647.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=66,COD_ORDER,payment_method=cod,MANUAL_REVIEW,0.0,0,8,66,9999,0
88,O000001729,U002155,2025-10-11 19:09:31,3125.42,upi,none,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,0.0,0,15,138,9999,0
89,O000003349,U001817,2025-12-15 13:20:57,3102.2,card,flash40,565894.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,13.880406418299929,0,14,127,9999,0
90,O000001341,U002404,2025-09-27 03:40:35,2955.68,card,shipfree,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,2.6353238813050126,0,15,138,9999,0
91,O000000384,U002316,2025-08-19 13:21:39,2324.81,cod,fashion30,574573.0,36,Medium,COUPON_REPEAT_USER,coupon_orders_user=5,PINCODE_REUSE,pincode_orders_count=50,DEVICE_REUSE,device_orders_count=9,MANUAL_REVIEW,14.679922636807705,0,9,50,9999,0
92,O000002618,U001316,2025-11-16 14:25:45,2112.96,upi,cpn008,565894.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,PINCODE_REUSE,pincode_orders_count=127,DEVICE_REUSE,device_orders_count=14,MANUAL_REVIEW,6.628486583943154,0,14,127,9999,1
93,O000003352,U002155,2025-12-15 06:35:56,1611.52,wallet,none,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,0.0,0,15,138,9999,0
94,O000000040,U003141,2025-08-04 06:09:31,1175.6,upi,cpn009,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,6.371455877668048,0,15,138,9999,0
95,O000004356,U002423,2026-01-21 11:22:22,1072.92,upi,shipfree,569539.0,36,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=5,PINCODE_REUSE,pincode_orders_count=138,DEVICE_REUSE,device_orders_count=15,MANUAL_REVIEW,6.938902959442111,0,15,138,9999,0
