order_id,session_id,user_id,order_ts,channel,device,device_id,ip_hash,shipping_pincode,city_tier,payment_method,coupon_id,gross_amount,discount_amount,shipping_amount,net_amount,promo_flag,order_status,discount_pct,signup_date,city_tier_user,segment,home_pincode,primary_device_id,risk_profile,session_ts,user_id_session,channel_session,device_session,device_id_session,ip_hash_session,pincode,promo_flag_session,item_count,total_qty,top_category,payment_attempts,failed_attempts,success_attempts,payment_failed_attempts_score,refund_flag,refund_amount,rto_flag,delivered_flag,coupon_discount_pct,high_discount_flag,coupon_used_flag,cod_flag,days_since_signup,new_user_flag,new_user_plus_coupon,prior_refunds_count,refund_history_user_flag,device_orders_count,device_reuse_score,pincode_orders_count,pincode_reuse_score,coupon_orders_user,coupon_repeat_user_flag,coupon_users_per_device,coupon_device_reuse_flag,pincode_rto_rate,high_rto_pincode_flag,net_amount_z,value_outlier_flag,risk_score,risk_band,reason_1,reason_2,reason_3
O000000012,S000000334,U001736,2025-08-03 10:49:49,search,web,Db59a019a63,IP0524dd9cf0,579260.0,1.0,card,none,16647.57,0.0,0.0,16647.57,0,PLACED,0.0,2025-06-03,1.0,regular,579260.0,Db59a019a63,normal,2025-08-03 10:41:38,U001736,search,web,Db59a019a63,IP0524dd9cf0,579260.0,0,2,2,electronics,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,7,0.35,64,1.0,1,0,1,0,0.0,0,0.4402074701057758,0,11,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000017,S000000444,U002061,2025-08-03 10:59:32,referral,web,D93aef875d8,IP1b226e6170,563967.0,3.0,cod,none,33170.45,0.0,0.0,33170.45,0,PLACED,0.0,2025-07-07,3.0,regular,563967.0,D93aef875d8,normal,2025-08-03 10:55:24,U002061,referral,web,D93aef875d8,IP1b226e6170,563967.0,0,4,4,electronics,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,2,0.1,168,1.0,0,0,0,0,0.0,0,1.8727681649008934,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000008,S000000171,U002662,2025-08-03 11:50:32,organic,mobile,Db4afefa832,IP461f5c4e5c,572769.0,1.0,upi,none,2728.59,0.0,0.0,2728.59,0,PLACED,0.0,2025-07-27,1.0,value,572769.0,Db4afefa832,normal,2025-08-03 11:43:25,U002662,organic,mobile,Db4afefa832,IP461f5c4e5c,572769.0,0,4,4,books,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,64,1.0,0,0,0,0,0.0,0,-0.332518354996442,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000016,S000000425,U001385,2025-08-03 14:56:03,organic,web,Df0e122aa06,IP85c2248554,574573.0,3.0,card,none,2710.73,0.0,0.0,2710.73,0,PLACED,0.0,2025-06-08,3.0,regular,574573.0,Df0e122aa06,normal,2025-08-03 14:51:37,U001385,organic,web,Df0e122aa06,IP85c2248554,574573.0,0,2,2,electronics,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,50,1.0,0,0,0,0,0.0,0,-0.7681393310359373,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000015,S000000386,U002052,2025-08-03 16:23:21,referral,web,Dc9b476352f,IP43aca88218,578418.0,2.0,cod,none,1813.55,0.0,0.0,1813.55,0,PLACED,0.0,2025-07-09,2.0,regular,578418.0,Dc9b476352f,normal,2025-08-03 16:10:22,U002052,referral,web,Dc9b476352f,IP43aca88218,578418.0,0,1,1,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,4,0.2,51,1.0,1,0,1,0,0.0,0,-0.6961728333101619,0,16,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000004,S000000137,U002435,2025-08-03 16:40:31,organic,web,D8331820412,IP396d8b38d5,563967.0,1.0,upi,none,5184.57,0.0,0.0,5184.57,0,PLACED,0.0,2025-07-11,1.0,value,563967.0,D8331820412,rto_prone,2025-08-03 16:37:01,U002435,organic,web,D8331820412,IP396d8b38d5,563967.0,0,2,2,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,1,0,3,0.15,168,1.0,2,0,1,0,0.0,0,-0.008174810767059122,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000013,S000000377,U000152,2025-08-03 17:04:12,referral,mobile,D1d3288f109,IPb0c8351798,579266.0,2.0,card,none,4853.16,0.0,0.0,4853.16,0,PLACED,0.0,2025-06-05,2.0,premium,579266.0,D1d3288f109,normal,2025-08-03 16:55:40,U000152,referral,mobile,D1d3288f109,IPb0c8351798,579266.0,0,4,4,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,52,1.0,1,0,1,0,0.0,0,-0.07581292168037605,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000010,S000000264,,2025-08-03 17:11:41,search,mobile,D_G_e360126a1f,IPef8d3c2227,569589.0,,card,none,12319.85,0.0,0.0,12319.85,0,CANCELLED_PAYMENT_FAILED,0.0,,,,,,,2025-08-03 17:05:06,,search,mobile,D_G_e360126a1f,IPef8d3c2227,569589.0,0,4,4,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0.0,0,0.9262743014712442,0,1,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000022,S000000592,U002851,2025-08-03 18:46:37,search,mobile,Dff46ca38c6,IP26b941f8fd,579260.0,2.0,cod,none,2339.54,0.0,0.0,2339.54,0,PLACED,0.0,2025-06-11,2.0,premium,579260.0,Dff46ca38c6,normal,2025-08-03 18:35:42,U002851,search,mobile,Dff46ca38c6,IP26b941f8fd,579260.0,0,3,3,grocery,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,1,0,3,0.15,64,1.0,1,0,1,0,0.0,0,-0.08600072285154639,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000011,S000000298,U001170,2025-08-03 20:07:51,organic,web,D22abcc3a33,IP894141f301,563967.0,1.0,card,none,4507.74,0.0,0.0,4507.74,0,PLACED,0.0,2025-06-09,1.0,value,563967.0,D22abcc3a33,normal,2025-08-03 19:59:53,U001170,organic,web,D22abcc3a33,IP894141f301,563967.0,0,4,4,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,168,1.0,0,0,0,0,0.0,0,-0.1463103607186608,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000020,S000000521,U000266,2025-08-03 21:27:21,search,web,Dc76a2a7266,IP76fc3b38e4,572901.0,2.0,upi,cpn008,2968.57,150.0,0.0,2818.57,0,PLACED,5.052937946553391,2025-07-13,2.0,value,572901.0,Dc76a2a7266,normal,2025-08-03 21:19:11,U000266,search,web,Dc76a2a7266,IP76fc3b38e4,572901.0,0,4,4,grocery,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,1,0.05,32,1.0,1,0,1,0,0.0,0,0.0494419480957119,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000018,S000000467,U003032,2025-08-03 22:15:53,organic,mobile,Dbb114f4e07,IP1e3a8bbe53,569539.0,2.0,cod,none,1795.55,0.0,0.0,1795.55,0,PLACED,0.0,2025-06-24,2.0,regular,569539.0,Dbb114f4e07,normal,2025-08-03 22:15:37,U003032,organic,mobile,Dbb114f4e07,IP1e3a8bbe53,569539.0,0,3,3,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,1,0,4,0.2,138,1.0,0,0,0,0,0.0,0,-0.641092048557003,0,16,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000024,S000000644,U002585,2025-08-03 23:17:05,Search,web,D3daf40afc6,IPded681b0a8,573828.0,2.0,cod,none,10657.1,0.0,0.0,10657.1,0,PLACED,0.0,2025-07-01,2.0,value,573828.0,D3daf40afc6,normal,2025-08-03 23:14:08,U002585,Search,web,D3daf40afc6,IPded681b0a8,573828.0,0,1,1,electronics,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,3,0.15,52,1.0,1,0,1,0,0.0,0,-0.07917606747056126,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000019,S000000499,U000300,2025-08-04 00:01:22,organic,web,D271063e664,IPe347a53c18,578963.0,2.0,cod,none,1732.82,0.0,0.0,1732.82,0,PLACED,0.0,2025-06-15,2.0,value,578963.0,D271063e664,normal,2025-08-03 23:47:41,U000300,organic,web,D271063e664,IPe347a53c18,578963.0,0,4,4,grocery,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,1,0.05,61,1.0,0,0,0,0,0.0,0,-0.25754692521281924,0,14,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000043,S000001064,U001420,2025-08-04 02:13:56,search,mobile,Ddaace2bec1,IPd451345a4c,unknown,2.0,card,none,689.76,0.0,0.0,689.76,0,PLACED,0.0,2025-06-20,2.0,regular,,Ddaace2bec1,normal,2025-08-04 02:11:11,U001420,search,mobile,Ddaace2bec1,IPd451345a4c,,0,2,2,books,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,36,1.0,0,0,0,0,0.0,0,-0.716273805615893,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000034,S000000931,U001684,2025-08-04 02:43:01,search,web,Dfe43e658d0,IP09c825e87f,577899.0,3.0,card,flash40,5178.26,500.0,0.0,4678.26,0,PLACED,9.655753090806565,2025-06-05,3.0,premium,577899.0,Dfe43e658d0,normal,2025-08-04 02:34:58,U001684,search,web,Dfe43e658d0,IP09c825e87f,577899.0,0,3,3,grocery,3,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,2,0.1,54,1.0,1,0,1,0,0.0,0,0.5752574100373579,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000039,S000001026,U000648,2025-08-04 02:59:07,email,web,D642660bdd4,IPf03a3cde21,572901.0,2.0,card,none,2166.39,0.0,0.0,2166.39,0,PLACED,0.0,2025-06-12,2.0,regular,572901.0,D642660bdd4,normal,2025-08-04 02:47:08,U000648,email,web,D642660bdd4,IPf03a3cde21,572901.0,0,2,2,grocery,1,0,0,0.0,1.0,2166.39,0.0,0.0,,0,0,0,9999,0,0,1,0,4,0.2,32,1.0,0,0,0,0,0.0,0,-0.13495777872386708,0,10,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000030,S000000814,U000162,2025-08-04 03:17:37,referral,web,D7c6428b695,IP8d9f351126,578896.0,1.0,card,none,6268.78,0.0,0.0,6268.78,0,PLACED,0.0,2025-06-06,1.0,value,578896.0,D7c6428b695,normal,2025-08-04 03:14:07,U000162,referral,web,D7c6428b695,IP8d9f351126,578896.0,0,4,4,beauty,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,47,1.0,0,0,0,0,0.0,0,0.02509859385502023,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000040,S000001047,U003141,2025-08-04 06:09:31,organic,mobile,D_RING_03,IP_RING_SHAR,569539.0,2.0,upi,cpn009,1255.6,80.0,0.0,1175.6,0,PLACED,6.371455877668048,2025-07-07,2.0,value,569539.0,D_RING_03,coupon_abuser,2025-08-04 06:08:18,U003141,organic,mobile,D_RING_03,IP_RING_SHAR,569539.0,0,1,1,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,15,0.75,138,1.0,1,0,5,1,0.0,0,-0.7334201624173085,0,24,Low,COUPON_DEVICE_REUSE,PINCODE_REUSE,DEVICE_REUSE
O000000025,S000000653,U000596,2025-08-04 07:05:50,organic,web,D3b07e94220,IP538a05423d,568375.0,3.0,netbanking,none,2219.3,0.0,0.0,2219.3,0,PLACED,0.0,2025-05-27,3.0,value,568375.0,D3b07e94220,normal,2025-08-04 07:03:42,U000596,organic,web,D3b07e94220,IP538a05423d,568375.0,0,3,3,books,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,124,1.0,0,0,0,0,0.0,0,-0.42837863439491086,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000045,S000001099,U000573,2025-08-04 08:07:52,email,web,Dde151dce39,IP3d48408ccd,577522.0,2.0,card,none,1934.65,0.0,0.0,1934.65,0,PLACED,0.0,2025-05-31,2.0,value,577522.0,Dde151dce39,normal,2025-08-04 08:07:23,U000573,email,web,Dde151dce39,IP3d48408ccd,577522.0,0,2,2,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,68,1.0,0,0,0,0,0.0,0,-0.6203761188240108,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000033,S000000896,U001676,2025-08-04 08:19:10,search,web,Dcd40fe5b7d,IP79b65d1ddd,577965.0,2.0,cod,none,6503.4,0.0,0.0,6503.4,0,PLACED,0.0,2025-07-13,2.0,regular,577965.0,Dcd40fe5b7d,normal,2025-08-04 08:16:17,U001676,search,web,Dcd40fe5b7d,IP79b65d1ddd,577965.0,0,3,3,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,3,0.15,43,1.0,0,0,0,0,0.0,0,0.060040157003507746,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000026,S000000689,U000830,2025-08-04 08:28:46,email,web,D3ad8313ef6,IP9443ea0427,575139.0,2.0,cod,none,731.94,0.0,0.0,731.94,0,PLACED,0.0,2025-08-01,2.0,premium,575139.0,D3ad8313ef6,normal,2025-08-04 08:14:52,U000830,email,web,D3ad8313ef6,IP9443ea0427,575139.0,0,1,1,books,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,5,0.25,63,1.0,2,0,1,0,0.0,0,-0.7083345439279993,0,16,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000029,S000000774,U002956,2025-08-04 12:19:31,search,web,D9902bf8529,IP42b0cd28bb,574621.0,3.0,wallet,none,8839.62,0.0,0.0,8839.62,0,PLACED,0.0,2025-07-30,3.0,value,574621.0,D9902bf8529,normal,2025-08-04 12:13:35,U002956,search,web,D9902bf8529,IP42b0cd28bb,574621.0,0,1,1,electronics,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,36,1.0,0,0,0,0,0.0,0,-0.23675455327789208,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000028,S000000723,U001428,2025-08-04 12:54:28,email,web,D930ecaf744,IP5bfdd14d44,575139.0,3.0,card,none,7565.88,0.0,0.0,7565.88,0,PLACED,0.0,2025-08-03,3.0,value,575139.0,D930ecaf744,normal,2025-08-04 12:53:57,U001428,email,web,D930ecaf744,IP5bfdd14d44,575139.0,0,3,3,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,1,0,6,0.3,63,1.0,0,0,0,0,0.0,0,0.47783137461959435,0,10,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000035,S000000961,U001946,2025-08-04 13:40:26,Organic,web,D1ffe380358,IP31478b0574,575439.0,1.0,cod,none,475.05,0.0,73.2,548.25,0,PLACED,0.0,2025-07-28,1.0,regular,575439.0,D1ffe380358,normal,2025-08-04 13:30:48,U001946,Organic,web,D1ffe380358,IP31478b0574,575439.0,0,1,1,grocery,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,1,0,3,0.15,60,1.0,0,0,0,0,0.0,0,-0.5924765219478748,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000041,S000001055,U000018,2025-08-04 14:34:23,referral,web,Db5a52fb31d,IPaa6b6b51d0,573828.0,1.0,cod,flat150,4108.49,150.0,0.0,3958.49,0,PLACED,3.6509763927866445,2025-07-25,1.0,regular,573828.0,Db5a52fb31d,normal,2025-08-04 14:31:44,U000018,referral,web,Db5a52fb31d,IPaa6b6b51d0,573828.0,0,4,4,sports,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,1,9999,0,0,0,0,2,0.1,52,1.0,1,0,1,0,0.0,0,-0.0049435914330964005,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
O000000044,S000001073,U000691,2025-08-04 15:24:53,search,web,D1f3ce98244,IP44adf79846,568375.0,3.0,card,none,241.42,0.0,72.03,313.45,0,PLACED,0.0,2025-08-01,3.0,premium,568375.0,D1f3ce98244,card_tester,2025-08-04 15:18:59,U000691,search,web,D1f3ce98244,IP44adf79846,568375.0,0,1,1,grocery,5,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,124,1.0,0,0,0,0,0.0,0,-0.6588647213057778,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000042,S000001063,U002135,2025-08-04 15:41:16,organic,mobile,Dcfd411e49c,IP7db6f149c6,574252.0,2.0,card,none,3174.86,0.0,0.0,3174.86,0,PLACED,0.0,2025-07-15,2.0,regular,574252.0,Dcfd411e49c,normal,2025-08-04 15:34:41,U002135,organic,mobile,Dcfd411e49c,IP7db6f149c6,574252.0,0,2,2,grocery,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,51,1.0,0,0,0,0,0.0,0,0.15018066849276143,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000031,S000000852,U001377,2025-08-04 16:00:03,organic,web,D74b462de9a,IP6f95652d79,568518.0,2.0,upi,none,11294.76,0.0,0.0,11294.76,0,PLACED,0.0,2025-07-16,2.0,regular,568518.0,D74b462de9a,normal,2025-08-04 15:48:26,U001377,organic,web,D74b462de9a,IP6f95652d79,568518.0,0,3,3,home,2,0,0,0.0,1.0,9223.77,0.0,0.0,,0,0,0,9999,0,0,1,0,2,0.1,164,1.0,1,0,1,0,0.0,0,0.9097822202374568,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000027,S000000704,,2025-08-04 17:18:00,organic,mobile,D_G_1f1732887a,IP255f33ff2a,565106.0,,netbanking,none,5093.39,0.0,0.0,5093.39,0,PLACED,0.0,,,,,,,2025-08-04 17:12:09,,organic,mobile,D_G_1f1732887a,IP255f33ff2a,565106.0,0,4,4,sports,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0.0,0,0.29310356067049814,0,1,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000032,S000000882,U001819,2025-08-04 17:47:39,email,web,D61d0a5049d,IP8c6c06fadd,568375.0,2.0,card,none,8765.94,0.0,0.0,8765.94,0,PLACED,0.0,2025-07-26,2.0,regular,568375.0,D61d0a5049d,normal,2025-08-04 17:34:43,U001819,email,web,D61d0a5049d,IP8c6c06fadd,568375.0,0,4,4,home,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,124,1.0,0,0,0,0,0.0,0,0.4584163244772519,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000037,S000000987,U000405,2025-08-04 20:51:45,search,web,D9058e8c75e,IP63efe1a6d0,569190.0,1.0,card,flat150,9184.89,150.0,0.0,9034.89,0,PLACED,1.6331169997680977,2025-05-26,1.0,regular,569190.0,D9058e8c75e,normal,2025-08-04 20:51:04,U000405,search,web,D9058e8c75e,IP63efe1a6d0,569190.0,0,1,1,home,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,1,0.05,95,1.0,1,0,1,0,0.0,0,0.5064208711293294,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000038,S000000997,U002782,2025-08-04 22:23:14,referral,mobile,D6078dabd18,IP0d5106fe3f,577548.0,2.0,card,none,4863.28,0.0,0.0,4863.28,0,PLACED,0.0,2025-07-13,2.0,regular,577548.0,D6078dabd18,normal,2025-08-04 22:22:05,U002782,referral,mobile,D6078dabd18,IP0d5106fe3f,577548.0,0,3,3,books,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,36,1.0,1,0,1,0,0.0,0,0.06928018773779078,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000036,S000000979,U001541,2025-08-04 23:08:35,referral,web,D4ca4741c58,IPf975321202,569190.0,2.0,cod,none,5059.0,0.0,0.0,5059.0,0,PLACED,0.0,2025-07-13,2.0,value,569190.0,D4ca4741c58,normal,2025-08-04 22:55:24,U001541,referral,web,D4ca4741c58,IPf975321202,569190.0,0,3,3,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,0,0,4,0.2,95,1.0,0,0,0,0,0.0,0,-0.03380263608127773,0,16,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
